"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
0.3,1,-100,0.333333333333333,0.000999940007198793,100,0.545924970100065,0.545924970100064,0.545924970100065,0.545924970100065,0.545924970100065,FALSE,2.0336549625522e-16,6.10096488765659e-16,2.0336549625522e-16,200,FALSE
0.7,1,-100,0.333333333333333,0.00233300675810118,100,0.361853253487295,0.361853253487294,0.361853253487295,0.361853253487295,0.36185325348727,FALSE,6.81131119014397e-14,6.50449537076811e-14,6.81131119014397e-14,200,FALSE
1,1,-100,0.333333333333333,0.00333266693320056,100,0.283476636531926,0.283476636531926,0.283476636532374,0.283476636531926,0.283476636531926,FALSE,3.91645335646601e-16,0,1.57891817065927e-12,200,FALSE
1.5,1,-100,0.333333333333333,0.00499850089932607,100,0.19874802982154,0.198748029822446,0.19874802982154,0.19874802982154,0.19874802982154,FALSE,1.11721663416945e-15,4.55531117374667e-12,1.11721663416945e-15,200,FALSE
3,1,-100,0.333333333333333,0.00999400718921824,100,0.0802830132357189,0.080283013235719,0.0802830132357189,0.080283013235719,0.0802830132357191,FALSE,2.42005153367812e-15,6.91443295336604e-16,2.42005153367812e-15,200,FALSE
10,1,-100,0.333333333333333,0.0332669320074217,100,0.0023469947848601,0.00234699478486599,0.0023469947848601,0.00234699478486592,0.002346994784866,FALSE,2.51117857084105e-12,2.95650162865761e-15,2.51117857084105e-12,203,FALSE
0.3,1,-50,0.333333333333333,0.00199952023026206,50,0.545961251263312,0.545961251263312,0.545961251263312,0.545961251263312,0.545961251263312,FALSE,2.0335198185882e-16,2.0335198185882e-16,2.0335198185882e-16,200,FALSE
0.7,1,-50,0.333333333333333,0.00466405625617542,50,0.361888310709873,0.361888310709873,0.361888310709873,0.361888310709874,0.361888310709847,FALSE,7.42422355207555e-14,7.20947328404031e-14,7.42422355207555e-14,200,FALSE
1,1,-50,0.333333333333333,0.00666134184963833,50,0.283500306635687,0.283500306635687,0.283500306635872,0.283500306635687,0.283500306635687,FALSE,5.87418954392095e-16,5.87418954392095e-16,6.51447620420833e-13,200,FALSE
1.5,1,-50,0.333333333333333,0.00998802871388923,50,0.198747832142501,0.198747832143406,0.198747832142501,0.198747832142501,0.198747832142501,FALSE,8.3791330903358e-16,4.55280196463396e-12,8.3791330903358e-16,200,FALSE
3,1,-50,0.333333333333333,0.0199522290268235,50,0.0802279842845679,0.0802279842845677,0.0802279842845679,0.0802279842845677,0.0802279842845677,FALSE,1.9027732934744e-15,0,1.9027732934744e-15,200,FALSE
